[4050] [-0.170625, -1.44374] [0.960348, 1.45529]
[4060] [-0.159765, -1.44754] [0.962941, 1.45911]
[4070] [-0.148885, -1.45115] [0.965417, 1.46276]
[4080] [-0.137988, -1.4546] [0.967776, 1.46623]
[4090] [-0.127074, -1.45786] [0.970017, 1.46951]
[4100] [-0.116145, -1.46095] [0.972141, 1.47262]
[4110] [-0.105202, -1.46386] [0.974148, 1.47556]
[4120] [-0.0942468, -1.46659] [0.976036, 1.47831]
[4130] [-0.0832798, -1.46914] [0.977805, 1.48088]
[4140] [-0.0723028, -1.47152] [0.979457, 1.48327]
[4150] [-0.0613172, -1.47371] [0.980989, 1.48548]
[4160] [-0.0503242, -1.47573] [0.982403, 1.48751]
[4170] [-0.0393252, -1.47757] [0.983697, 1.48936]
[4180] [-0.0283214, -1.47922] [0.984872, 1.49103]
[4190] [-0.0173144, -1.4807] [0.985928, 1.49252]
[4200] [-0.00630522, -1.482] [0.986864, 1.49382]
[4210] [0.00470463, -1.48312] [0.98768, 1.49495]
[4220] [0.0157139, -1.48405] [0.988377, 1.49589]
[4230] [0.0267212, -1.48481] [0.988953, 1.49665]
[4240] [0.0377252, -1.48539] [0.98941, 1.49723]
[4250] [0.0487246, -1.48578] [0.989747, 1.49762]
[4260] [0.0597181, -1.486] [0.989963, 1.49784]
[4270] [0.0707044, -1.48603] [0.99006, 1.49787]
[4280] [0.081682, -1.48589] [0.990036, 1.49772]
[4290] [0.0926498, -1.48556] [0.989893, 1.49738]
[4300] [0.103606, -1.48505] [0.989629, 1.49687]
[4310] [0.11455, -1.48436] [0.989245, 1.49617]
[4320] [0.12548, -1.48349] [0.988741, 1.49529]
[4330] [0.136395, -1.48244] [0.988117, 1.49423]
[4340] [0.147294, -1.48121] [0.987373, 1.49298]
[4350] [0.158174, -1.47981] [0.986509, 1.49156]
[4360] [0.169036, -1.47822] [0.985525, 1.48995]
[4370] [0.179877, -1.47645] [0.984422, 1.48816]
[4380] [0.190696, -1.4745] [0.983199, 1.4862]
[4390] [0.201492, -1.47237] [0.981857, 1.48405]
[4400] [0.212264, -1.47006] [0.980396, 1.48172]
[4410] [0.22301, -1.46757] [0.978815, 1.4792]
[4420] [0.23373, -1.46491] [0.977116, 1.47651]
[4430] [0.244421, -1.46207] [0.975298, 1.47364]
[4440] [0.255082, -1.45905] [0.973361, 1.47059]
[4450] [0.265713, -1.45585] [0.971307, 1.46736]
[4460] [0.276311, -1.45247] [0.969134, 1.46396]
[4470] [0.286876, -1.44892] [0.966843, 1.46037]
[4480] [0.297406, -1.44519] [0.964435, 1.45661]
[4490] [0.307901, -1.44128] [0.96191, 1.45267]
[4500] [0.318358, -1.4372] [0.959268, 1.44855]
[4510] [0.328776, -1.43295] [0.956509, 1.44426]
[4520] [0.339155, -1.42852] [0.953634, 1.43979]
